Species,BxY_Slope,BxY_StErr,BxY_t.value,BxY_p.value,BxY_Intercept,BxY_F Stat,BxY_numDF,BxY_denDF,BxY_adj.r.squ,BxP_Slope,BxP_StErr,BxP_t.value,BxP_p.value,BxP_Intercept,BxP_F Stat,BxP_numDF,BxP_denDF,BxP_adj.r.squ,BxH_Slope,BxH_StErr,BxH_t.value,BxH_p.value,BxH_Intercept,BxH_F Stat,BxH_numDF,BxH_denDF,BxH_adj.r.squ,BxL_Slope,BxL_StErr,BxL_t.value,BxL_p.value,BxL_Intercept,BxL_F Stat,BxL_numDF,BxL_denDF,BxL_adj.r.squ
Achillea lanulosa Nuttall,-0.468294846,0.225296054,-2.078575447,0.046936561,1136.307057,4.320475888,1,28,0.102735984,0.000520162,0.000433308,1.200443439,0.240025165,165.0264432,1.441064451,1,28,0.014981267,-13.86519604,3.744043598,-3.703267784,0.000925524,319.063833,13.71419228,1,28,0.304792963,-14.70435995,4.356360831,-3.375376953,0.002176298,114.4448629,11.39316958,1,28,0.263831768
Acomastylis rossii (R. Brown) Greene ssp turbinata (Rydberg) W. A. Weber,-0.372164841,0.166862384,-2.230369914,0.030150312,927.0823769,4.974549955,1,51,0.071006376,-0.000110843,0.000250828,-0.44190694,0.660424774,197.6918168,0.195281743,1,51,-0.015718602,-6.375597671,3.592505212,-1.774694063,0.081917007,240.2566275,3.149539018,1,51,0.039696349,-8.971781135,3.586176584,-2.501767809,0.015607664,132.8950801,6.258842169,1,51,0.09184332
Adoxa moschatellina L.,0.094132021,0.201362117,0.467476319,0.645768791,17.08271753,0.218534109,1,18,-0.042894005,-6.18476E-05,0.000391213,-0.158091789,0.876144531,208.3129647,0.024993014,1,18,-0.054091948,7.916487355,4.849922483,1.632291523,0.119988782,138.3408498,2.664375615,1,18,0.080543233,3.326276032,5.582899266,0.59579725,0.558728691,223.7502626,0.354974364,1,18,-0.035141735
Agoseris aurantiaca (Hooker) Greene,-0.301908767,0.176472827,-1.710794645,0.097442416,803.0059366,2.926818317,1,30,0.058518205,0.000138835,0.000294235,0.471851399,0.640446877,191.7435206,0.222643743,1,30,-0.025720988,-7.488445845,3.301509761,-2.26818831,0.030678745,264.0308336,5.144678208,1,30,0.117931887,-3.710450615,3.69881517,-1.003145722,0.323813648,180.3627727,1.00630134,1,30,0.000203228
Agoseris glauca (Pursh) Rafinesque var dasycephala (Torrey & Gray) Jepson,-0.57075986,0.181815175,-3.139231142,0.005163778,1344.110366,9.854772166,1,20,0.296594867,0.000580622,0.000336767,1.724105529,0.100112637,159.6809841,2.972539875,1,20,0.085865119,-5.714207833,2.663885935,-2.145064756,0.04440968,255.1266292,4.601302809,1,20,0.146386671,-8.082603804,3.350452391,-2.412391779,0.025572368,158.675012,5.819634097,1,20,0.186665469
Agrostis scabra Willdenow,-0.691751664,0.173234653,-3.993148323,0.001333853,1594.663325,15.94523353,1,14,0.499085556,2.99107E-05,0.000487948,0.06129901,0.95198759,216.3948762,0.003757569,1,14,-0.07114108,-8.398003655,3.345508086,-2.510232658,0.024967962,289.1877706,6.301267999,1,14,0.261129896,-13.0393773,3.2059055,-4.067299334,0.001153545,140.4947401,16.54292387,1,14,0.508887883
Allium geyeri S. Watson,-0.213401776,0.175817459,-1.213768973,0.236178636,620.3484206,1.473235119,1,25,0.017875984,0.000542491,0.000327723,1.655334656,0.110357968,152.473119,2.740132822,1,25,0.062729794,-9.265523983,3.001593087,-3.086868778,0.004896048,271.1110916,9.52875885,1,25,0.247004501,-7.380886494,3.287294624,-2.245276843,0.033837469,151.4552484,5.0412681,1,25,0.134523885
Alsinanthe macrantha (Rydberg) W. A. Weber,-0.101510438,0.200226097,-0.506979057,0.616612372,407.0959368,0.257027764,1,25,-0.029416456,0.000222266,0.000329891,0.673755999,0.506648522,188.1135347,0.453947147,1,25,-0.021452581,-9.00596954,3.963506779,-2.272222565,0.031933673,279.6321399,5.162995385,1,25,0.138016644,-11.57961837,5.29082421,-2.188622776,0.038179564,133.1256017,4.790069653,1,25,0.127225941
Amerosedum lanceolatum (Torrey) Löve & Löve,-0.280815737,0.468485512,-0.599411785,0.565483306,766.5836492,0.359294488,1,8,-0.076645884,0.000224684,0.000525195,0.42781064,0.680072436,192.3748078,0.183021944,1,8,-0.099838185,-2.365369835,7.695373459,-0.307375574,0.766407008,229.427035,0.094479744,1,8,-0.111868864,-6.34836528,12.0943796,-0.524902103,0.613882428,169.6371465,0.275522217,1,8,-0.08754466
Androsace chamaejasme Host ssp carinata (Torrey) Hultén,-0.319069563,0.18327769,-1.740907817,0.103620626,818.3870968,3.030760027,1,14,0.119240716,-0.000112273,0.00032502,-0.345433445,0.734903871,196.9356606,0.119324265,1,14,-0.062373788,1.405728216,7.978343034,0.176193003,0.86266558,177.1409912,0.031043974,1,14,-0.069058014,-6.520351885,4.137799043,-1.575801971,0.137393292,145.172182,2.48315185,1,14,0.089979869
